encrypted,decrypted
w@^$|{__Hj6=/>$@_2o@^$|{__Hj6=/>$@_2r@^$|{__Hj6=/>$@_2d,word
 , 
encrypted,decrypted
h2e2l2l2o,hello
 , 
encrypted,decrypted
h@^$|{__Hj6=/>$@_2e@^$|{__Hj6=/>$@_2l@^$|{__Hj6=/>$@_2l@^$|{__Hj6=/>$@_2o,hello
 , 
encrypted,decrypted
hRy_*?<36_*9(_}{{$Q]eRy_*?<36_*9(_}{{$Q]lRy_*?<36_*9(_}{{$Q]lRy_*?<36_*9(_}{{$Q]o,hello
 , 
encrypted,decrypted
h@^$|{__Hj6>$@_2e@^$|{__Hj6>$@_2l@^$|{__Hj6>$@_2l@^$|{__Hj6>$@_2o,hello
 , 
encrypted,decrypted
d@^$|{__Hj6>$@_2s@^$|{__Hj6>$@_2d_&76^_}s@^$|{__Hj6>$@_2d@^$|{__Hj6>$@_2s@^$|{__Hj6>$@_2d,sdsd dsd
 , 
encrypted,decrypted
s1d1s2h1e1l1l1o,hello sds
encrypted,decrypted
dHY_87$||( &js_&76^_}pHY_87$||( &jrHY_87$||( &jaHY_87$||( &jjHY_87$||( &jaHY_87$||( &jrHY_87$||( &ja,prajara ds
encrypted,decrypted
dHY_87$||( &jsHY_87$||( &jdHY_87$||( &jsHY_87$||( &jd,dsdsd
encrypted,decrypted
d$*76_+76s$*76_+76dh_252_%$@s$*76_+76d$*76_+76s$*76_+76d,sdsd dsd
encrypted,decrypted
v@^$|{__Hj6>$@_2e@^$|{__Hj6>$@_2r@^$|{__Hj6>$@_2yh_252_%$@t@^$|{__Hj6>$@_2h@^$|{__Hj6>$@_2i@^$|{__Hj6>$@_2sh_252_%$@d@^$|{__Hj6>$@_2a@^$|{__Hj6>$@_2n@^$|{__Hj6>$@_2g@^$|{__Hj6>$@_2e@^$|{__Hj6>$@_2r@^$|{__Hj6>$@_2o@^$|{__Hj6>$@_2u@^$|{__Hj6>$@_2sh_252_%$@i@^$|{__Hj6>$@_2sh_252_%$@ah_252_%$@p@^$|{__Hj6>$@_2r@^$|{__Hj6>$@_2o@^$|{__Hj6>$@_2g@^$|{__Hj6>$@_2r@^$|{__Hj6>$@_2a@^$|{__Hj6>$@_2m@^$|{__Hj6>$@_2.,this is a very dangerous program.
encrypted,decrypted
h@6E_{>87)k&%^e@6E_{>87)k&%^l@6E_{>87)k&%^l@6E_{>87)k&%^o,hello
encrypted,decrypted
w@^o@^r@^l@^d<h@^e@^l@^l@^o,hello world
encrypted,decrypted
w@^90:*$b+wo@^90:*$b+wr@^90:*$b+wd,word
encrypted,decrypted
s@^90:*$b+wd@^90:*$b+ws@^90:*$b+wd6^_|{}d@^90:*$b+ws@^90:*$b+wd,sdsd dsd
encrypted,decrypted
r@^90:*$b+we@^90:*$b+wd6^_|{}w@^90:*$b+wi@^90:*$b+wr@^90:*$b+wh6^_|{}i@^90:*$b+wn@^90:*$b+wi@^90:*$b+wt@^90:*$b+wi@^90:*$b+wa@^90:*$b+wt@^90:*$b+we6^_|{}z6^_|{}p@^90:*$b+wr@^90:*$b+wo@^90:*$b+wj@^90:*$b+we@^90:*$b+wc@^90:*$b+wt6^_|{}p@^90:*$b+wr@^90:*$b+wo@^90:*$b+wg@^90:*$b+wa@^90:*$b+wm,initiate progam z wirh project red
encrypted,decrypted
wHy_87${}&joHy_87${}&jrHy_87${}&jd,word
 , 
encrypted,decrypted
w@^90:*$b+wo@^90:*$b+wr@^90:*$b+wd6^_|{}w@^90:*$b+wo@^90:*$b+wr@^90:*$b+wd,word word
encrypted,decrypted
w@^90:*$b+wo@^90:*$b+wr@^90:*$b+wl@^90:*$b+wd6^_|{}h@^90:*$b+we@^90:*$b+wl@^90:*$b+wl@^90:*$b+wo,hello world
encrypted,decrypted
h$*76_+76e$*76_+76l$*76_+76l$*76_+76o,hello
 , 
encrypted,decrypted
i$%89&i@^$_H9-@Fn$%89&r@^$_H9-@Fe@^$_H9-@Fp@^$_H9-@Fe@^$_H9-@Fa@^$_H9-@Ft$%89&d@^$_H9-@Fa@^$_H9-@Fn@^$_H9-@Fg@^$_H9-@Fe@^$_H9-@Fr@^$_H9-@F.$%89&a@^$_H9-@Fr@^$_H9-@Fe$%89&y@^$_H9-@Fo@^$_H9-@Fu,you are in danger. i repeat
 , 
encrypted,decrypted
h$*76_+76e$*76_+76l$*76_+76l$*76_+76o,hello
 , 
encrypted,decrypted
h@^$_H9-@Fe@^$_H9-@Fl@^$_H9-@Fl@^$_H9-@Fo,hello
 , 
